age,gender,driving_experience,vehicle_age,vehicle_type,annual_mileage,credit_score,previous_claims,traffic_violations,coverage_type,deductible,claim_filed,premium
29,Male,49,14,Hatchback,26007,774,0,0,Standard,1000,1,1964.8474395861067
75,Female,17,4,Hatchback,17211,821,0,1,Standard,1000,0,2063.792532278842
39,Female,45,11,SUV,25452,836,0,0,Basic,1000,0,2600.12810304588
78,Female,23,0,SUV,28891,310,0,0,Premium,500,0,2650.4589267621996
61,Female,7,11,Sports Car,11495,626,1,0,Premium,1000,1,2368.1804780952166
42,Female,29,5,Sedan,11953,575,0,0,Standard,500,0,1808.7436994609277
66,Male,43,18,Truck,26437,669,0,0,Premium,2000,1,2004.6816308654372
44,Male,9,18,Hatchback,24056,789,0,0,Basic,2000,0,2240.5647268849207
76,Male,22,15,Hatchback,6713,644,1,0,Standard,2000,0,1731.5629135209213
59,Female,48,18,SUV,25428,667,0,0,Basic,500,0,3093.3807639380316
45,Male,10,2,SUV,5635,610,0,0,Premium,500,0,1403.5084053500507
77,Male,1,9,Sedan,26518,784,0,0,Standard,2000,1,2435.2926948235463
33,Male,25,17,SUV,20193,314,0,0,Standard,2000,1,2696.140016659698
32,Male,35,12,SUV,28003,303,0,0,Premium,1000,1,2928.1490069397987
79,Male,32,17,Hatchback,19633,675,0,0,Standard,1000,0,2138.0574633946007
79,Female,46,2,Hatchback,14309,668,1,0,Basic,1000,0,1840.122624219448
64,Male,12,2,Hatchback,20778,764,0,0,Basic,2000,0,2003.211740050574
79,Female,39,11,Hatchback,12445,832,0,1,Basic,2000,0,1531.217870995259
68,Female,24,19,Sedan,17415,436,2,0,Basic,500,1,2506.0017515507534
61,Female,3,6,Sports Car,19281,662,0,0,Basic,1000,0,2134.445855628827
72,Female,41,7,Sedan,11602,515,0,4,Basic,500,1,2179.1674612776874
69,Female,18,8,Sedan,5037,667,2,0,Standard,2000,1,1838.4492056786357
74,Male,17,13,Sports Car,14824,416,0,0,Basic,2000,1,2292.6549629880465
20,Male,36,4,Truck,8775,478,0,0,Basic,2000,0,1906.0473916901542
54,Female,29,18,Sports Car,25469,545,1,0,Standard,1000,1,3241.7624325394604
68,Female,18,15,Sedan,15555,427,0,0,Standard,500,0,2056.510294362238
24,Female,22,11,Sedan,10120,657,1,0,Basic,2000,0,1537.8275350154483
38,Male,15,3,Sedan,19678,377,0,0,Basic,2000,0,2277.795125930102
26,Female,0,7,Sedan,28128,592,0,0,Premium,1000,1,3014.675387539669
56,Male,11,6,Sedan,22425,381,0,0,Premium,500,0,2276.529245378506
35,Female,23,14,Sports Car,9715,641,0,1,Standard,500,0,2066.385928403076
21,Male,33,5,Truck,6394,637,0,0,Premium,500,0,1457.2661937005003
42,Female,7,4,SUV,7869,395,0,0,Standard,500,0,1662.1492181848755
77,Male,17,13,Sports Car,8676,444,0,1,Basic,500,1,2143.861453951552
31,Female,47,12,Sedan,8721,820,0,0,Basic,500,0,1426.3951256112075
67,Male,4,9,Hatchback,10690,696,2,0,Basic,5000,1,2184.3577492416935
75,Male,25,17,SUV,10818,656,1,0,Standard,1000,0,1933.428617650388
26,Male,29,3,Truck,5234,485,1,0,Basic,1000,0,1706.6901934972257
43,Male,12,7,Hatchback,8140,842,1,0,Standard,500,1,1600.1999451070974
70,Male,18,10,Hatchback,13638,450,0,0,Standard,5000,0,1973.900142739992
19,Male,28,16,Sedan,17897,618,1,0,Basic,1000,0,1945.3834200800252
37,Male,2,17,Sports Car,29583,358,0,0,Basic,5000,0,3465.2722587906846
45,Female,25,10,Sedan,22383,309,0,1,Basic,2000,1,2614.049123006592
64,Female,39,15,Sedan,22718,423,0,0,Standard,500,0,2333.598084026848
77,Female,11,11,Sedan,13325,655,0,0,Premium,2000,1,1689.0069525669896
24,Female,1,12,Hatchback,15624,645,0,0,Standard,1000,1,1696.0702672531322
61,Female,10,15,Hatchback,29631,536,0,0,Basic,1000,1,2497.381884841998
78,Male,43,0,Sedan,26472,632,0,0,Basic,2000,0,2767.177252508088
25,Male,27,15,SUV,26863,316,1,1,Premium,2000,1,3219.536174205524
64,Male,17,14,Hatchback,11090,723,0,1,Basic,2000,0,1504.9940551843476
52,Male,12,5,SUV,16377,623,0,1,Basic,2000,0,1939.6343217118626
31,Male,36,11,SUV,22495,322,0,0,Standard,1000,1,2327.5877376424346
34,Female,21,7,SUV,19870,758,1,0,Basic,1000,0,2246.408455899183
53,Female,11,6,Truck,29719,759,1,0,Premium,2000,0,2448.764282756478
67,Female,1,1,SUV,24300,820,1,0,Standard,1000,0,2581.4267291343194
57,Female,36,11,Truck,28183,720,0,0,Premium,500,1,2737.320997905413
21,Male,6,13,SUV,7103,702,0,0,Standard,1000,1,1394.780536051135
19,Male,25,15,Sedan,10125,630,0,0,Standard,500,1,2139.2033549368134
79,Male,25,10,SUV,11590,756,0,0,Premium,500,0,1920.5302514436253
23,Female,23,19,Sedan,15212,782,0,1,Standard,500,1,2329.7011645386906
71,Male,11,8,SUV,14600,797,0,0,Basic,500,1,1680.96088785515
59,Female,15,9,Sedan,7921,326,0,0,Basic,500,0,1555.94881666424
21,Male,22,16,Truck,9734,696,0,1,Basic,500,1,1487.2138178567125
71,Male,39,11,SUV,24757,487,1,0,Standard,1000,1,2932.5857211967505
46,Female,8,5,Truck,28138,439,0,0,Standard,500,1,2842.9392684533123
35,Male,31,18,Hatchback,21037,820,0,0,Basic,500,0,1747.1986479759266
43,Male,14,10,Truck,5836,391,2,0,Basic,2000,0,2165.7473840651514
61,Female,36,8,Hatchback,17094,376,1,0,Basic,2000,1,2214.579530988838
51,Male,12,5,Sports Car,14028,543,0,0,Premium,1000,1,2866.076945218791
27,Female,4,15,Sedan,15749,387,0,0,Standard,2000,0,2158.054954626549
79,Male,10,19,Hatchback,20432,593,0,0,Standard,1000,0,2582.3262689038943
53,Male,9,15,Hatchback,16051,394,0,0,Basic,500,0,2011.349254404167
31,Male,12,5,Hatchback,28091,552,0,1,Basic,2000,0,2964.387567745062
48,Male,40,4,Sports Car,20586,698,0,0,Basic,5000,1,2435.138101977167
65,Male,45,3,Sports Car,10312,353,0,1,Standard,1000,1,2587.432708568416
32,Male,49,1,Sedan,8822,542,0,0,Basic,500,0,1788.8600396433862
25,Male,14,5,Truck,27537,409,0,0,Premium,500,1,2983.3966727867864
31,Male,41,8,Sedan,16622,520,0,0,Standard,500,0,2319.107564753466
40,Female,6,16,Sedan,21099,461,0,1,Basic,1000,1,2600.0399532486413
77,Female,39,13,Sports Car,22188,334,0,0,Premium,1000,1,2957.4340808832026
74,Male,27,6,SUV,6075,336,1,1,Standard,1000,1,2179.1205937728478
79,Male,31,18,Sedan,19063,669,0,1,Standard,1000,0,1815.3687222708363
57,Female,34,0,Truck,21383,476,0,0,Basic,1000,1,2143.1040898471606
38,Male,14,19,Hatchback,14605,820,0,0,Premium,1000,0,1549.535737556061
33,Male,47,14,Sports Car,9452,574,0,0,Standard,500,1,2604.3160565240346
62,Female,35,17,SUV,23047,404,0,0,Basic,1000,0,2545.8493678807963
35,Male,20,2,Hatchback,17298,455,1,0,Standard,5000,0,2275.0708158186403
64,Male,5,17,Sedan,17368,635,0,0,Basic,1000,0,1990.406231489805
70,Female,0,1,Truck,12428,325,0,0,Premium,1000,0,1747.8512734855171
41,Male,3,9,Sedan,23437,595,0,0,Premium,500,0,2754.3108961687035
43,Male,10,10,SUV,20817,836,0,0,Standard,500,0,1729.2968310231206
42,Female,43,2,Sports Car,7420,654,0,0,Basic,1000,1,2117.9584907389476
77,Male,25,6,Truck,23912,368,0,0,Standard,1000,1,2876.8207712817075
77,Female,36,7,Sedan,9317,626,1,0,Basic,500,1,1744.382695387344
77,Male,22,18,Sedan,29361,450,1,1,Basic,500,1,2988.995760422047
62,Male,28,17,SUV,28611,619,0,0,Standard,1000,1,2820.5009034095715
58,Female,20,12,SUV,13412,751,1,0,Basic,500,0,1921.6664021353306
46,Female,47,12,Sports Car,21321,411,1,0,Standard,5000,1,3488.352993452853
32,Male,44,18,SUV,5227,761,1,0,Basic,500,0,1774.828547599416
62,Female,44,11,SUV,23721,661,1,0,Premium,5000,1,2402.770369421153
18,Female,48,16,Sedan,16456,502,0,0,Basic,1000,0,2268.6230869493293
42,Male,26,11,Sedan,5955,786,0,0,Standard,1000,0,1091.1034341253564
24,Male,38,12,Sports Car,22881,779,0,1,Standard,1000,1,2615.940974606946
26,Male,39,11,Sports Car,14472,303,0,0,Basic,1000,0,2678.2250649497514
41,Female,12,18,Sedan,6978,428,1,0,Standard,1000,0,1708.4679505948677
18,Female,22,13,Sedan,22913,325,0,0,Standard,500,0,2450.3875329640014
61,Female,15,6,Sports Car,17675,326,0,0,Standard,500,1,2799.4289708649503
25,Female,29,12,Sedan,24046,341,0,0,Basic,1000,1,2367.6992745300545
41,Male,3,5,SUV,27817,363,0,0,Standard,500,0,2781.8915449554697
28,Female,39,18,SUV,21128,324,1,0,Standard,500,1,3099.920351633811
68,Male,15,18,Sedan,20668,371,0,0,Standard,5000,1,2479.678116873322
34,Female,30,3,Sedan,12445,781,1,0,Premium,2000,0,1820.1677222063192
25,Male,41,18,Hatchback,9284,567,0,0,Basic,2000,0,1747.115107491778
52,Male,24,8,Truck,22585,394,0,0,Basic,1000,1,2190.6102170039935
52,Male,43,15,Sports Car,12131,694,1,0,Basic,500,0,2402.1065596773383
50,Female,11,3,SUV,15614,663,0,0,Basic,500,0,2003.114610000551
76,Male,25,5,Truck,5759,614,2,0,Basic,5000,1,1881.3245883080608
22,Male,36,7,Hatchback,26957,416,1,0,Standard,2000,1,2408.365648988648
59,Female,47,15,Sports Car,26545,463,1,0,Standard,1000,1,3287.122809960574
56,Male,32,4,Sedan,25673,605,0,0,Basic,2000,0,2266.165271471605
75,Female,27,9,Sports Car,26830,499,0,1,Premium,2000,1,3369.213200413883
58,Female,8,12,SUV,18684,479,0,0,Basic,1000,0,2480.7136636342907
45,Male,11,13,Sports Car,14680,657,0,0,Premium,2000,1,2339.2520055101127
24,Male,4,6,SUV,25642,551,0,0,Standard,500,1,2722.983644145673
26,Female,27,19,Hatchback,9371,598,0,0,Standard,1000,0,1519.0313478621704
25,Male,34,5,Sports Car,17651,729,0,0,Basic,1000,0,2090.7111976484684
29,Female,4,6,Sedan,6665,303,1,0,Standard,1000,1,1820.884363781026
51,Female,33,4,Sedan,11918,553,0,0,Premium,5000,0,2495.572916248053
50,Female,45,17,SUV,28007,395,1,0,Standard,2000,1,3216.9380741724603
65,Male,33,11,Sedan,15194,466,2,0,Premium,500,0,2967.6335958615155
72,Female,12,5,SUV,28816,630,1,0,Basic,500,0,2989.7788631011676
40,Male,38,0,SUV,28066,361,0,0,Premium,1000,0,2692.6072536899783
79,Male,41,3,SUV,16213,473,0,0,Basic,500,0,2295.0235772185974
41,Male,44,18,Hatchback,20745,552,0,0,Standard,500,1,2844.1385724775187
54,Male,47,11,SUV,27612,760,0,0,Basic,1000,0,2735.6129238172266
52,Female,13,14,Sedan,27211,514,0,0,Standard,1000,0,2809.6108514274124
61,Male,10,2,Sedan,26819,538,0,1,Standard,2000,1,2652.4808634153533
57,Female,41,19,SUV,12636,714,2,0,Standard,1000,0,2232.939442249235
39,Female,37,7,Sedan,22749,425,0,0,Premium,1000,1,2223.429335881712
44,Male,3,10,Sports Car,12344,552,0,0,Basic,500,1,2330.1787443098538
52,Female,32,15,Sedan,8201,496,0,0,Premium,1000,0,1741.8641841968824
18,Female,6,8,Sports Car,9752,712,2,0,Premium,2000,1,2244.330355557085
52,Male,40,2,Truck,14575,755,0,1,Standard,500,0,2070.1278188709603
54,Female,7,4,Sedan,15327,353,1,0,Basic,500,1,2150.7656726771743
64,Female,36,19,SUV,20891,638,0,0,Basic,500,0,2308.7893823959994
31,Female,9,13,SUV,18029,658,0,0,Basic,2000,0,2299.0275111978885
20,Female,42,14,Truck,11091,450,2,1,Premium,500,1,2799.9916647700065
18,Male,14,5,SUV,27998,399,0,0,Basic,500,0,2953.0722010184395
22,Female,37,3,Sports Car,22905,533,1,0,Basic,500,1,2919.9503715821656
43,Female,14,7,Truck,20866,843,0,0,Basic,2000,0,2040.2312483514281
72,Female,4,18,Sports Car,12521,361,0,0,Basic,500,1,2828.0804766542665
31,Female,28,4,SUV,27943,495,0,1,Basic,500,1,3237.165016125509
56,Male,18,12,Sedan,20410,841,1,1,Basic,500,1,2409.039007763893
44,Female,9,15,Truck,23007,405,0,0,Premium,1000,0,2565.1757807503986
26,Male,11,0,Hatchback,24518,594,0,3,Basic,1000,0,3031.821030208905
32,Female,3,12,Hatchback,10820,750,0,0,Basic,1000,0,1285.8168968900504
32,Male,30,10,Hatchback,16453,833,0,0,Premium,1000,0,1863.7307882083228
43,Male,17,7,Truck,26378,455,1,0,Standard,5000,1,2679.7004323673204
59,Male,15,7,Sports Car,9696,705,2,0,Basic,2000,1,2275.661045174619
77,Male,39,13,Truck,6867,674,0,0,Basic,1000,0,1296.6476985203733
30,Male,35,12,SUV,20723,754,0,0,Basic,500,0,1820.2913452053986
68,Female,24,2,Sports Car,24207,501,0,0,Standard,2000,1,2986.817419356889
49,Female,22,3,SUV,16817,751,0,0,Basic,1000,0,1704.951651328171
56,Female,11,19,SUV,27490,486,0,0,Standard,5000,1,3041.9351972496993
66,Male,33,14,Truck,5168,667,0,1,Standard,5000,0,1008.0593740002045
69,Female,35,14,SUV,29171,639,0,0,Basic,1000,1,2321.5927035777568
78,Male,36,12,Sedan,15213,561,0,0,Standard,500,0,1694.322819619039
49,Male,2,8,Sedan,20223,842,0,2,Premium,500,0,2373.5739144063177
21,Female,8,9,Hatchback,16452,605,0,0,Premium,2000,0,1801.399975133025
47,Female,17,11,Sports Car,26293,464,0,0,Standard,1000,1,3455.981979873716
54,Male,42,13,SUV,13027,387,0,0,Standard,1000,0,2237.774239818006
40,Male,34,0,SUV,21291,499,0,0,Basic,1000,0,2212.477729511271
56,Female,33,13,SUV,15641,570,1,0,Standard,1000,0,2313.7387163551784
62,Female,40,13,Sedan,26065,350,0,0,Standard,1000,1,2641.8211540670354
32,Female,13,7,SUV,26521,788,0,0,Standard,500,0,2592.3474151677
60,Female,3,15,Truck,29715,497,0,0,Standard,1000,1,2427.7915731559206
46,Male,28,13,SUV,26618,322,0,0,Premium,500,1,3011.2916527366683
53,Female,40,0,SUV,5224,522,0,1,Standard,1000,0,1737.942703417042
30,Female,44,15,Sedan,13749,520,0,0,Standard,1000,0,1818.2378894209585
49,Female,49,17,SUV,11582,565,0,0,Standard,1000,0,2293.7934063114894
24,Male,14,6,Sedan,6573,372,0,0,Basic,5000,0,1610.7869861495478
76,Male,27,14,Sports Car,13577,376,0,1,Basic,1000,0,2706.8103394822265
68,Male,41,16,SUV,13712,843,0,2,Standard,1000,1,2301.3048853917503
39,Male,15,18,Truck,11763,734,1,0,Basic,500,0,1476.6949028630356
45,Female,11,12,Sports Car,17164,364,0,1,Standard,500,0,2858.1229610450987
19,Male,4,8,SUV,10217,656,0,2,Premium,5000,0,2375.816420749244
59,Female,33,14,SUV,24526,317,0,0,Premium,1000,1,2684.49122722338
62,Female,41,2,Sports Car,21272,735,0,0,Premium,1000,0,2638.67068988194
79,Female,0,0,Sedan,17734,740,0,0,Basic,500,0,2404.9586411435266
74,Female,38,15,Sports Car,16353,308,0,0,Basic,2000,1,2936.48004335759
70,Male,31,7,Hatchback,8501,769,0,0,Basic,1000,0,1347.251372532362
23,Male,25,12,Sedan,18530,647,0,0,Basic,1000,0,2004.6888929201655
45,Male,16,7,Sports Car,17394,671,0,1,Standard,500,0,2670.4491876524085
45,Female,47,16,Truck,6499,474,0,0,Basic,500,1,2056.484861961526
61,Female,26,13,SUV,14669,814,0,0,Standard,500,0,1750.8796195817808
61,Female,23,6,Truck,28071,429,0,0,Basic,1000,0,3317.2104361842635
37,Female,34,14,SUV,26629,592,0,0,Standard,500,0,2889.3037781935022
47,Female,45,15,SUV,15519,652,0,1,Standard,500,1,2063.381622776254
79,Male,41,18,Sports Car,18239,523,0,0,Premium,1000,0,2846.275167695039
28,Female,38,5,Truck,23128,823,1,0,Premium,1000,1,2283.814983571791
75,Male,25,0,Hatchback,7039,808,1,0,Basic,500,1,1494.9870219586758
72,Female,48,11,Sedan,13311,667,0,0,Premium,1000,0,1561.7511095192788
45,Female,37,17,SUV,8857,799,0,0,Standard,500,0,1533.759139391797
42,Male,22,15,Sedan,9950,389,1,0,Standard,2000,0,1660.0552925224108
56,Male,21,11,Sedan,28471,371,0,0,Premium,2000,1,2397.0416726550857
79,Female,3,19,SUV,20441,732,0,0,Basic,5000,1,2071.406152629386
50,Female,48,12,SUV,17735,647,0,0,Premium,1000,0,2140.451582733433
18,Female,8,7,Sedan,27415,562,1,0,Standard,1000,1,2705.869916976754
74,Female,3,0,Sedan,6743,570,0,1,Basic,1000,1,2220.3653761610444
44,Male,6,6,SUV,18283,808,0,0,Basic,2000,0,2241.788146654692
79,Female,22,14,Hatchback,24925,807,0,0,Standard,2000,0,2122.1318629985144
74,Male,1,12,Truck,14638,719,0,0,Standard,1000,1,2103.1629247789842
69,Female,48,12,Sedan,8616,371,0,0,Standard,1000,0,1697.6319553289213
30,Male,23,8,Hatchback,20383,373,0,0,Basic,500,1,2274.373909444702
58,Male,39,14,Sports Car,8894,802,0,0,Basic,1000,0,2073.158907303809
20,Female,30,3,Hatchback,23108,445,0,1,Standard,2000,0,2570.629427068425
56,Male,46,12,SUV,11227,345,0,0,Basic,2000,1,2080.9632475895082
23,Female,30,11,SUV,15464,404,0,0,Basic,2000,0,2387.6467079367794
25,Male,46,4,Hatchback,25446,408,1,0,Basic,1000,0,2544.0824948109635
44,Female,39,6,Sedan,12847,616,0,0,Basic,5000,0,1620.9773579113323
26,Male,47,7,Hatchback,9281,420,0,1,Standard,5000,0,1726.2390150527056
79,Female,42,4,Truck,29647,798,1,0,Basic,5000,1,2762.226165715963
54,Female,33,8,Hatchback,23584,342,0,1,Premium,1000,0,2346.9909207481273
50,Male,23,13,SUV,7143,398,0,0,Standard,1000,0,2172.1072590159047
68,Male,48,11,Sedan,19780,610,0,0,Standard,1000,0,1880.6346755766951
59,Male,25,3,SUV,8181,513,0,0,Standard,500,0,1842.3345586362375
61,Male,15,19,Hatchback,24259,762,0,0,Standard,1000,0,2189.9864110845615
41,Female,46,7,SUV,11520,722,0,0,Standard,500,1,1582.8211325524248
32,Male,12,16,Sports Car,18052,688,0,0,Basic,5000,1,2449.074714752546
76,Female,14,7,SUV,17271,411,0,1,Basic,1000,0,2745.427804002188
71,Male,26,0,SUV,22480,571,0,0,Standard,5000,0,2568.004238154339
49,Female,3,19,Sedan,17499,401,0,0,Basic,1000,1,2090.077693750864
49,Female,15,1,SUV,13915,509,0,0,Basic,500,0,2324.5088459608596
41,Female,29,3,Truck,21122,321,0,1,Standard,500,1,2622.6384664150096
58,Female,43,0,Sedan,16431,458,0,0,Standard,1000,0,2146.4238146931734
69,Male,29,6,Hatchback,11918,642,1,0,Standard,2000,0,2049.3381327084862
66,Male,35,0,Sports Car,13148,699,1,0,Premium,1000,1,2450.0338669921275
79,Female,2,8,Sports Car,18038,753,0,0,Basic,1000,1,2766.6981174087036
66,Male,21,2,Sports Car,18805,442,0,0,Premium,1000,1,2689.6893752932765
75,Male,48,11,Sedan,24598,696,0,0,Standard,2000,0,2011.377466424191
69,Female,21,18,SUV,12749,835,0,0,Basic,500,0,2125.672586392547
29,Male,49,14,Truck,26948,440,0,1,Premium,5000,0,2444.6657767443544
79,Male,49,15,SUV,7871,539,0,0,Standard,1000,0,1734.6673066295393
56,Male,48,9,SUV,9489,591,0,0,Basic,2000,0,1777.5881545504903
19,Female,11,5,Sedan,9607,381,0,0,Basic,1000,0,1772.5677469957518
20,Male,20,16,Truck,17973,470,0,1,Standard,500,0,2313.2146604383643
66,Female,3,16,SUV,17111,825,0,0,Standard,1000,1,2308.136402977976
54,Male,30,18,SUV,28148,841,1,0,Premium,500,0,2820.7070741223133
66,Male,43,17,Sedan,10834,409,1,0,Basic,2000,1,1936.9006546442854
73,Male,30,10,Hatchback,14912,511,1,0,Standard,1000,0,2199.400533449391
34,Female,22,6,SUV,8399,737,0,0,Basic,500,0,1432.2439809733326
76,Female,19,9,Sports Car,26762,621,0,0,Standard,500,0,2980.213330910595
66,Male,14,6,Sports Car,23241,383,2,0,Premium,5000,1,3669.5889942035433
19,Female,22,4,Truck,12604,675,0,0,Standard,2000,0,1651.9777259584935
19,Male,27,11,Sedan,15957,352,1,1,Standard,2000,1,2424.2855727274887
45,Female,15,15,Truck,12731,795,0,0,Standard,1000,0,1729.7104223677884
71,Female,36,17,SUV,23780,555,3,1,Basic,2000,0,3358.025602834586
40,Male,20,2,SUV,20808,519,0,0,Premium,500,1,2512.1796845811336
54,Male,14,19,Sports Car,7261,399,1,0,Standard,500,0,2329.9174385358565
49,Male,16,14,Truck,16809,428,1,0,Standard,1000,1,2481.3429686819914
50,Male,49,4,Sports Car,22696,518,0,0,Premium,5000,1,2857.5531616509243
18,Female,36,12,Hatchback,15056,776,0,1,Standard,1000,0,1459.3158073559084
36,Female,12,18,Sedan,23689,757,0,0,Standard,500,0,1957.7255844529618
79,Female,18,11,Hatchback,26891,321,0,0,Standard,1000,1,3116.0159264055033
19,Male,29,4,Sedan,24125,628,0,0,Basic,2000,0,2153.556919020741
70,Male,44,5,Sports Car,24720,779,0,0,Basic,1000,1,2846.1456433965636
61,Female,17,6,SUV,28864,638,0,0,Premium,2000,1,2626.635241396643
43,Male,13,9,SUV,26543,478,0,0,Basic,1000,0,2812.239740147193
49,Female,35,15,SUV,5997,720,0,0,Standard,500,0,1276.4089352470746
23,Female,35,7,SUV,20155,781,0,0,Basic,2000,1,2528.4874230427345
49,Female,19,8,Sedan,11353,348,0,0,Basic,500,0,1718.121705221892
72,Female,18,3,SUV,23703,329,0,0,Standard,2000,1,2540.8718960013393
21,Female,44,7,Sedan,8207,384,0,0,Standard,1000,0,1766.8724813981694
72,Male,43,6,Sports Car,14275,801,0,0,Standard,2000,1,2456.7694231852097
28,Male,6,14,Sedan,24965,845,0,0,Premium,5000,0,2193.484202633021
73,Male,43,2,Sedan,20874,628,0,0,Standard,1000,0,1679.0839638023904
76,Female,3,16,Sedan,8086,733,0,1,Basic,1000,0,1196.0285363058579
34,Female,33,10,SUV,20973,548,2,1,Standard,2000,1,3407.7923339427593
55,Female,1,8,Truck,28550,433,0,0,Premium,500,0,2742.146542536208
41,Female,4,4,Hatchback,22105,664,1,0,Basic,500,1,2570.9980364401736
22,Male,9,9,Sedan,19870,724,0,0,Standard,1000,0,2020.5434298223242
69,Male,31,14,Sports Car,6154,714,0,0,Basic,500,0,1647.2855242739247
51,Female,41,13,Sports Car,21029,811,1,0,Basic,500,0,2829.4274580153537
23,Female,40,3,SUV,12167,684,0,0,Premium,5000,1,1841.9405559399195
39,Female,12,19,Sports Car,5016,687,0,0,Premium,1000,0,1850.6832345522535
28,Male,38,1,Sedan,12097,748,1,0,Basic,2000,0,1821.3776049864202
65,Male,4,11,SUV,18165,602,0,0,Premium,2000,0,2012.3559403265474
33,Male,9,0,SUV,23616,398,0,0,Basic,500,1,2909.9977891779013
50,Female,9,19,Sedan,16654,605,1,0,Standard,5000,1,2020.017338666724
26,Female,37,4,Sports Car,22830,341,1,0,Standard,2000,1,3188.6630959316376
77,Male,26,5,SUV,21205,767,0,0,Standard,500,0,2074.4129342158762
76,Female,20,10,Sedan,14657,739,0,0,Premium,5000,0,1526.6494184859168
23,Male,7,7,SUV,16959,626,1,0,Standard,1000,1,2066.7054720377446
33,Female,0,6,Truck,27158,332,0,0,Standard,5000,0,2440.9907124850424
46,Male,27,3,Truck,16819,711,0,0,Premium,2000,0,1409.301928892231
20,Female,48,5,Sports Car,8083,413,0,0,Basic,1000,1,2058.9415516425993
37,Male,38,15,SUV,14735,807,0,1,Standard,1000,1,2391.4346039390493
77,Male,13,19,Sports Car,29655,355,0,0,Standard,500,0,3208.442605034449
76,Male,20,14,SUV,11952,651,0,1,Premium,1000,0,1705.3409745019076
53,Male,29,13,Sedan,29225,628,0,0,Standard,500,1,2603.158650220305
36,Male,20,11,SUV,19637,845,0,0,Premium,5000,0,2158.285634611557
43,Male,48,11,SUV,14463,569,1,0,Standard,2000,0,2348.1961683393265
20,Female,8,15,Sports Car,10391,495,0,0,Basic,2000,0,2059.2834064267245
36,Female,16,14,Hatchback,19468,712,0,0,Premium,1000,0,1974.838513317748
37,Female,4,12,Truck,20091,378,0,0,Standard,500,0,2311.4476529023314
49,Male,30,10,Sedan,19964,382,0,0,Standard,1000,1,2359.3632351338288
24,Male,39,16,Sedan,13964,436,0,0,Premium,1000,1,1992.981374431552
69,Female,37,14,Sedan,12914,838,1,0,Standard,500,1,1827.250042116782
58,Male,42,13,Truck,19476,605,0,0,Standard,1000,0,1974.1487727627702
50,Male,18,9,Truck,21866,610,0,0,Standard,2000,0,2071.2901158311547
57,Male,35,11,Hatchback,27065,687,0,0,Standard,2000,0,2058.183942950941
56,Male,49,15,SUV,12437,848,0,1,Standard,500,0,2363.587143441903
35,Male,32,14,Truck,16371,805,0,0,Standard,2000,0,1938.8034051770665
